,,,,,,,,,
,,,,,,,,,
,Upset,,,,,,,,
,Over,,,,,,,,
,Under,,,GAMES ( *Conf. ),SPREAD,OVER / UNDER,SCORE,LOCATION,DATE / TIME (ET)
,No Odds,,,,,,,,
,,,,Charleston South vs. Florida State,FSU -33.5,44.5,7 - 41,"Tallahassee, FL",23 Nov / 1:30 pm
,,,,Stanford vs. Cal *,CAL -14.5,54.5,21 - 24,"Berkeley, CA",23 Nov / 3:30 pm
,,,,The Citadel vs. Clemson,CLEM -50.5,60.5,14 - 51,"Clemson, SC",23 Nov / 3:30 pm
,,,,Pitt vs. Louisville *,LOU -8.5,57.5,9 - 37,"Louisville, KY",23 Nov / 3:30 pm
,,,,Virginia Tech vs. Duke *,VT -2.5,46.5,28 - 31,"Durham, NC",23 Nov / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 14,Stanford vs. San Jose State,SJSU -2.5,55.5,31 - 34,"San Jose, CA",29 Nov / 4:00 pm
,,,,Georgia Tech vs. Georgia,UGA -19.5,54.5,42 - 44,"Athens, GA",29 Nov / 7:30 pm
,,,,,,,,,
,,,,South Carolina vs. Clemson,CLEM -2.5,49.5,17 - 14,"Clemson, SC",30 Nov / 12:00 pm
,,,,Duke vs. Wake Forest *,DUKE -2.5,54.5,23 - 17,"Winston-Salem, NC",30 Nov / 12:00 pm
,,,,Louisville vs. Kentucky,LOU -3.5,48.5,41 - 14,"Lexington, KY",30 Nov / 12:00 pm
,,,,NC State vs. North Carolina *,UNC -3.5,55.5,35 - 30,"Chapel Hill, NC",30 Nov / 3:30 pm
,,,,Miami vs. Syracuse *,MIA -10.5,67.5,38 - 42,"Syracuse, NY",30 Nov / 3:30 pm
,,,,Cal vs. SMU *,SMU -13.5,56.5,6 - 38,"Dallas, TX",30 Nov / 3:30 pm
,,,,Pitt vs. Boston College *,BC -3.5,48.5,23 - 34,"Chestnut Hill, MA",30 Nov / 3:30 pm
,,,,Florida vs. Florida State,FLA -14.5,45.5,41 - 11,"Tallahassee, FL",30 Nov / 7:00 pm
,,,,Virginia 🧡💙 vs. Virginia Tech *,VT -7.5,48.5,17 - 37,"Blacksburg, VA",30 Nov / 8:00 pm
